beta-Carotene,LMPR02010034,9,35,101.8428,0.4706,0.0291,2165.2348,504.5293,0.2571,834.652610,536.873
beta-Carotene,LMPR0104280001,5,30,88.368,0.2275,-0.2687,1760.415,436.4695,0.1667,272.250400,536.873
beta-Carotene,LMPR0102070035,4,27,191.7444,0.1549,-0.4699,1981.5855,470.1354,0.1481,330.167855,536.873
beta-Carotene,LMPR0104050017,5,31,254.1314,0.037,-0.5915,2307.853,522.8412,0.1613,348.193675,536.873
beta-Carotene,LMPR0104010031,9,31,80.3975,0.5154,0.1815,1361.2267,383.8077,0.2903,420.396730,536.873
beta-Carotene,CA01130,11,30,34.49,0.5534,0.0942,1766.0356,463.535,0.3667,536.848,536.873
beta-Carotene,LMPR01090041,6,30,100.9301,0.3436,-0.1704,2146.4754,518.0352,0.2,282.198365,536.873
beta-Carotene,LMPR0105020003,4,37,103.2346,0.1244,-0.3936,2443.0876,514.8459,0.1081,344.344300,536.873
beta-Carotene,CA01234,12,43,165.5366,0.5439,0.2078,2515.9464,526.5627,0.2791,566.832,536.873
beta-Carotene,CA00237,11,36,43.8399,0.6087,0.3131,1607.4473,406.166,0.3056,560.912,536.873
beta-Carotene,LMPR0104090001,2,34,346.4528,0.0169,-0.5009,2587.6578,559.1112,0.0588,334.214410,536.873
beta-Carotene,LMPR03020007,7,29,57.549,0.5573,0.2106,1436.8695,381.853,0.2414,778.602898,536.873
beta-Carotene,CA00984,10,43,117.7628,0.4786,0.0976,2699.8728,555.5074,0.2326,584.89,536.873
beta-Carotene,CA00314,12,25,25.0673,0.721,0.3484,1119.4709,363.4942,0.48,530.8,536.873
beta-Carotene,CA00298,12,40,49.6486,0.5499,0.1978,2329.4884,523.4808,0.3,536.848,536.873
beta-Carotene,CA00516,8,28,194.4236,0.5763,0.1741,1572.6954,435.0932,0.2857,628.816,536.873
beta-Carotene,LMPR0106240005,6,40,237.7373,0.2754,-0.1426,2415.2303,532.1493,0.15,472.355260,536.873
beta-Carotene,CA00974,17,41,92.1925,0.7512,0.6145,1391.1343,374.3312,0.4146,789.232,536.873
beta-Carotene,LMPR0102070031,6,37,453.183,0.0269,-0.6324,3180.7954,636.1426,0.1622,556.215595,536.873
beta-Carotene,LMPR0103370004,5,36,280.4386,0.166,-0.3947,2797.8808,584.9716,0.1389,455.230789,536.873
beta-Carotene,LMPR01070117,15,39,67.1013,0.6914,0.4768,1761.9636,438.2916,0.3846,554.448765,536.873
